producto_url,nombre,precio_lista_habitual,precio_oferta_final,precio_sin_impuestos,memoria_ram,camara_frontal,fecha_scrapeo,Tipo de pantalla,Tamaño de la pantalla,Resistente al agua,Velocidad de la CPU,Tipo de procesador,Batería,Cámara trasera,Dual SIM,Memoria externa incluida,Carga rápida,Lector de huella,Conexión Bluetooth,NFC,GPS integrado,Información adicional,Tecnología AI
https://www.cetrogar.com.ar/celular-pova-tecno-mobile-6-78-12-256gb-interstellar-blue.html,"Celular Tecno Mobile Pova 6 6.78"" 12GB 256GB Interstellar blue",$699.999,$509.999,$421.486,4GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-ercm-pova-tecno-mobile-6-78-12-256gb-meteorite-grey.html,"Celular Tecno Mobile Pova 6 6.78"" 12GB 256GB Meteorite grey",$699.999,$509.999,$421.486,4GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-focus-pro-nubia-6-7-8-256gb-brown.html,"Celular Nubia Focus Pro 6.7"" 8GB 256GB brown",$168.099,$509.999,$421.486,8GB,32M FF,2025-06-25,AMOLED,"6.7""",No,2.84 GHz,Quad Core,4.500 mAh,108M AF (OIS) +5M AF+2M FF,No,No,Sí,No,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-focus-pro-nubia-6-7-8-512gb-negro.html,"Celular Nubia Focus Pro 6.7"" 8GB 256GB negro",$290.899,$509.999,$421.486,8GB,32M FF,2025-06-25,AMOLED,"6.7""",No,2.84 GHz,Quad Core,4.500 mAh,108M AF (OIS) +5M AF+2M FF,No,No,Sí,No,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a16-5g-light-gray.html,Celular Samsung Galaxy A16 5G Light Gray,$26.999,$529.999,$438.015,8GB,13.0 MP,2025-06-25,Super AMOLED,"6.7""",No,"2.4GHz,2GHz",Octa Core,5.000 mAh,50.0 MP + 5.0 MP + 2.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-note-13-mid-6-6-8-256gb-ice-blue.html,"Celular Xiaomi Redmi Note 13 Mid 6.6"" 8GB 256GB Ice",$97.999,$549.999,$454.544,8GB,16 MP (wide),2025-06-25,IPS,"6.6""",No,,Octa Core,Li-Po 5000 mAh,108 MP (wide),Sí,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-note-13-mid-6-6-8-256gb-green.html,"Celular Xiaomi Redmi Note 13 Mid 6.6"" 8GB 256GB green",$17.999,$549.999,$454.544,8GB,16 MP (wide),2025-06-25,IPS,"6.6""",No,,Octa Core,Li-Po 5000 mAh,108 MP (wide),Sí,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-redmi-note-13-mid-6-6-8gb-256gb-black.html,"Celular Xiaomi Redmi Note 13 Mid 6.6"" 8GB 256GB black",$96.299,$549.999,$454.544,8GB,16 MP (wide),2025-06-25,IPS,"6.6""",No,,Octa Core,Li-Po 5000 mAh,108 MP (wide),Sí,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a26-5g-6-7-8gb-256gb-black.html,"Celular Samsung Galaxy A26 5G 6.7"" 8GB 256GB Black",$699.999,$576.999,$476.858,8GB,13.0 MP,2025-06-25,AMOLED,"6.7""",Sí,"2.4GHz,2GHz",Octa Core,5.000 mAh,50.0 MP + 8.0 MP + 2.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-motorola-g85-6-6-8-256gb-5g-azul.html,"Celular Motorola G85 6.6"" 8GB 256GB 5G azul",$699.999,$579.999,$479.338,8GB,32 MP (80.53°) F2.5,2025-06-25,POLED,"6.6""",No,2.3 GHz,Octa Core,5000mAH,Principal: 50 MP (81.4°) F1.79 Gran angular y Macro: 8 MP (118.6°) F2.2,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-motorola-g85-6-6-8-256gb-5g-green.html,"Celular Motorola G85 6.6"" 8GB 256GB 5G green",$699.999,$579.999,$479.338,8GB,32 MP (80.53°) F2.5,2025-06-25,POLED,"6.6""",No,2.3 GHz,Octa Core,5000mAH,Principal: 50 MP (81.4°) F1.79 Gran angular y Macro: 8 MP (118.6°) F2.2,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-tecno-mobile-camon-30s-8-256gb-gold.html,"Celular Tecno Mobile Camon 30S 6.78"" 8GB 256GB Gold",$829.999,$589.999,$487.602,8GB,50MP,2025-06-25,AMOLED,"6.78""",No,1 GHz,MTK Helio G100,5000mAh,50MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-tecno-mobile-camon-30s-8-256gb-green.html,"Celular Tecno Mobile Camon 30S 6.78"" 8GB 256GB Green",$829.999,$589.999,$487.602,8GB,50MP,2025-06-25,AMOLED,"6.78""",No,1 GHz,MTK Helio G100,5000mAh,50MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-tecno-camon-30s-8-256gb-grey.html,"Celular Tecno Mobile Camon 30S 6.78"" 8GB 256GB Grey",$829.999,$589.999,$487.602,8GB,50MP,2025-06-25,AMOLED,"6.78""",No,1 GHz,MTK Helio G100,5000mAh,50MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-motorola-edge-50-fusion-6-6-8-256gb-marsh-blue.html,"Celular Motorola Edge 50 6.6"" Fusion 8GB 256GB Marsh blue",$799.999,$599.999,$495.866,8GB,32 MP (80.53°) F2.45,2025-06-25,POLED,"6.55""",Sí,1.6 GHz,Octa Core,5000mAH,50 MP (84.1°) F1.88,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-motorola-edge-50-fusion-6-6-8-256gb-hot-pink.html,"Celular Motorola Edge 50 6.6"" Fusion 8GB 256GB Hot pink",$799.999,$599.999,$495.866,8GB,32 MP (80.53°) F2.45,2025-06-25,POLED,"6.55""",Sí,1.6 GHz,Octa Core,5000mAH,50 MP (84.1°) F1.88,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-motorola-edge-50-fusion-6-6-8-256gb-forest-blue.html,"Celular Motorola Edge 50 6.6"" Fusion 8GB 256GB Forest blue",$799.999,$599.999,$495.866,8GB,32 MP (80.53°) F2.45,2025-06-25,POLED,"6.55""",Sí,1.6 GHz,Octa Core,5000mAH,50 MP (84.1°) F1.88,Sí,No,Sí,Sí,Sí,Sí,Sí,,
